Subject/Candidate Campaign,,,,2,2,1,1,2,2,3,3,4,2,2
,Number in Json,,,52,53,43,44,52,53,36,37,8,0,1
,,Row in Log,,20,20,20,20,20,20,20,20,20,23,23
,,,Name,15,15,21,21,15,15,11,11,5,10,10
2,52,20,15,0.0,767653.443296,1195999.09637,1106915.08834,0.0,767653.443296,378806.600156,466253.469217,349258.559224,233594.08897,309905.11376
2,53,20,15,767653.443296,0.0,2402088.25342,2265140.15595,767653.443296,0.0,631466.664646,521550.836885,1053451.40974,717623.66371,392328.493424
