Subject/Candidate Campaign,,,,3,3,2,2,2,2,2,2,1,1,1,1,1
,Number in Json,,,36,37,25,26,64,65,40,41,0,1,8,9,10
,,Row in Log,,20,20,21,21,10,10,31,31,0,0,3,3,3
,,,Name,11,11,6,6,2,2,19,19,1,1,4,4,4
3,36,20,11,0.0,262836.526854,472143.080248,406641.034124,387433.257044,448042.054294,483729.795596,326032.440647,1768053.82196,1897531.71351,904248.024521,1420942.56976,1638355.3755
3,37,20,11,262836.526854,0.0,637545.983011,368598.912881,337574.6739,358477.47476,669549.200372,369205.971215,2136426.66124,2273620.00355,1041664.81518,1749244.73388,2002692.71669
