Subject/Candidate Campaign,,,,1,1,2,2,1,1,1,1,2,2,2,2,2
,Number in Json,,,2,3,34,35,27,28,2,3,49,50,51,10,11
,,Row in Log,,1,1,30,30,13,13,1,1,14,14,14,35,35
,,,Name,2,2,18,18,14,14,2,2,3,3,3,23,23
1,2,1,2,0.0,157249.115141,698570.618429,1376462.45857,135895.645669,200262.324903,0.0,157249.115141,2663057.78801,2411385.50542,1455867.0377,735733.743913,806590.22364
1,3,1,2,157249.115141,0.0,622598.159413,1237161.29579,218110.016076,191507.829742,157249.115141,0.0,2447356.43425,2187254.87173,1267948.18901,628737.716669,710025.671406
